order_id,age_group,product_category,order_value_inr,item_count,delivery_frequency_per_month
SM00095,26-35,PersonalCare,9692.9,15,4
SM00096,18-25,Grocery,7247.03,12,12
SM00097,26-35,Fashion,2602.73,7,10
SM00098,51+,PersonalCare,4412.59,3,
SM00099,26-35,Home,1696.35,6,1
SM00100,51+,PersonalCare,10200.94,8,1
SM00101,18-25,Fashion,17726.57,8,3
SM00102,18-25,Grocery,1392.88,1,7
SM00103,36-50,Home,20289.23,11,3
SM00104,51+,Grocery,11592.54,9,6
SM00105,36-50,Grocery,1668.29,1,4
SM00106,36-50,Electronics,10279.82,15,8
SM00107,51+,Grocery,9821.19,5,11
SM00108,36-50,Fashion,960.58,3,2
SM00109,51+,Home,4283.36,10,2
SM00110,18-25,Electronics,1898.57,1,3
SM00111,51+,Electronics,1540.68,1,5
SM00112,51+,Grocery,929.44,1,9
SM00113,18-25,Grocery,8909.35,9,5
SM00114,18-25,Home,18901.21,8,10
SM00115,26-35,Home,8762.56,4,9
SM00116,18-25,PersonalCare,19718.4,10,5
SM00117,26-35,Fashion,21244.75,15,8
SM00118,26-35,Fashion,11278.83,12,9
SM00119,18-25,Fashion,4545.98,8,6
SM00120,26-35,Home,4322.99,7,10
SM00047,51+,Electronics,17688.66,14,8
SM00044,51+,PersonalCare,3759.74,11,9
SM00036,26-35,PersonalCare,1468.23,1,10
