order_id,age_group,product_category,order_value_inr,item_count,delivery_frequency_per_month,avg_value_per_item,customer_order_frequency_group
SM00107,51+,Grocery,9821.19,5,11.0,1964.238,High
SM00108,36-50,Fashion,960.58,3,2.0,320.1933333333333,Low
SM00109,51+,Home,4283.36,10,2.0,428.33599999999996,Low
SM00110,18-25,Electronics,1898.57,1,3.0,1898.57,Low
SM00111,51+,Electronics,1540.68,1,5.0,1540.68,Medium
SM00112,51+,Grocery,929.44,1,9.0,929.44,High
SM00113,18-25,Grocery,8909.35,9,5.0,989.9277777777778,Medium
SM00114,18-25,Home,18901.21,8,10.0,2362.65125,High
SM00115,26-35,Home,8762.56,4,9.0,2190.64,High
SM00116,18-25,PersonalCare,19718.4,10,5.0,1971.8400000000001,Medium
SM00117,26-35,Fashion,21244.75,15,8.0,1416.3166666666666,Medium
SM00118,26-35,Fashion,11278.83,12,9.0,939.9025,High
SM00119,18-25,Fashion,4545.98,8,6.0,568.2475,Medium
SM00120,26-35,Home,4322.99,7,10.0,617.5699999999999,High
